code2	country	date	type	count	lockdown	population
DK	Denmark	2020-04-14	Confirmed	6511	2020-03-11	5837213
DK	Denmark	2020-04-14	Deaths	299	2020-03-11	5837213
DK	Denmark	2020-04-15	Confirmed	6681	2020-03-11	5837213
DK	Denmark	2020-04-15	Deaths	309	2020-03-11	5837213
DK	Denmark	2020-04-16	Confirmed	6879	2020-03-11	5837213
DK	Denmark	2020-04-16	Deaths	321	2020-03-11	5837213
DK	Denmark	2020-04-17	Confirmed	7073	2020-03-11	5837213
DK	Denmark	2020-04-17	Deaths	336	2020-03-11	5837213
DK	Denmark	2020-04-18	Confirmed	7242	2020-03-11	5837213
DK	Denmark	2020-04-18	Deaths	346	2020-03-11	5837213
DK	Denmark	2020-04-19	Confirmed	7384	2020-03-11	5837213
DK	Denmark	2020-04-19	Deaths	355	2020-03-11	5837213
DK	Denmark	2020-04-20	Confirmed	7515	2020-03-11	5837213
DK	Denmark	2020-04-20	Deaths	364	2020-03-11	5837213
DK	Denmark	2020-04-21	Confirmed	7695	2020-03-11	5837213
DK	Denmark	2020-04-21	Deaths	370	2020-03-11	5837213
DK	Denmark	2020-04-22	Confirmed	7912	2020-03-11	5837213
DK	Denmark	2020-04-22	Deaths	384	2020-03-11	5837213
DK	Denmark	2020-04-23	Confirmed	8073	2020-03-11	5837213
DK	Denmark	2020-04-23	Deaths	394	2020-03-11	5837213
DK	Denmark	2020-04-24	Confirmed	8210	2020-03-11	5837213
DK	Denmark	2020-04-24	Deaths	403	2020-03-11	5837213
DK	Denmark	2020-04-25	Confirmed	8445	2020-03-11	5837213
DK	Denmark	2020-04-25	Deaths	418	2020-03-11	5837213
DK	Denmark	2020-04-26	Confirmed	8575	2020-03-11	5837213
DK	Denmark	2020-04-26	Deaths	422	2020-03-11	5837213
DK	Denmark	2020-04-27	Confirmed	8698	2020-03-11	5837213
DK	Denmark	2020-04-27	Deaths	427	2020-03-11	5837213
DK	Denmark	2020-04-28	Confirmed	8851	2020-03-11	5837213
DK	Denmark	2020-04-28	Deaths	434	2020-03-11	5837213
DK	Denmark	2020-04-29	Confirmed	9008	2020-03-11	5837213
DK	Denmark	2020-04-29	Deaths	443	2020-03-11	5837213
DK	Denmark	2020-04-30	Confirmed	9158	2020-03-11	5837213
DK	Denmark	2020-04-30	Deaths	452	2020-03-11	5837213
DK	Denmark	2020-05-01	Confirmed	9311	2020-03-11	5837213
DK	Denmark	2020-05-01	Deaths	460	2020-03-11	5837213
DK	Denmark	2020-05-02	Confirmed	9407	2020-03-11	5837213
DK	Denmark	2020-05-02	Deaths	475	2020-03-11	5837213
DK	Denmark	2020-05-03	Confirmed	9523	2020-03-11	5837213
DK	Denmark	2020-05-03	Deaths	484	2020-03-11	5837213
DK	Denmark	2020-05-04	Confirmed	9670	2020-03-11	5837213
DK	Denmark	2020-05-04	Deaths	493	2020-03-11	5837213
DK	Denmark	2020-05-05	Confirmed	9821	2020-03-11	5837213
DK	Denmark	2020-05-05	Deaths	503	2020-03-11	5837213
DK	Denmark	2020-05-06	Confirmed	9938	2020-03-11	5837213
DK	Denmark	2020-05-06	Deaths	506	2020-03-11	5837213
DK	Denmark	2020-05-07	Confirmed	10083	2020-03-11	5837213
DK	Denmark	2020-05-07	Deaths	514	2020-03-11	5837213
DK	Denmark	2020-05-08	Confirmed	10218	2020-03-11	5837213
DK	Denmark	2020-05-08	Deaths	522	2020-03-11	5837213
DK	Denmark	2020-05-09	Confirmed	10319	2020-03-11	5837213
DK	Denmark	2020-05-09	Deaths	526	2020-03-11	5837213
DK	Denmark	2020-05-10	Confirmed	10429	2020-03-11	5837213
DK	Denmark	2020-05-10	Deaths	529	2020-03-11	5837213
DK	Denmark	2020-05-11	Confirmed	10513	2020-03-11	5837213
DK	Denmark	2020-05-11	Deaths	533	2020-03-11	5837213
DK	Denmark	2020-05-12	Confirmed	10591	2020-03-11	5837213
DK	Denmark	2020-05-12	Deaths	527	2020-03-11	5837213
DK	Denmark	2020-05-13	Confirmed	10667	2020-03-11	5837213
DK	Denmark	2020-05-13	Deaths	533	2020-03-11	5837213
DK	Denmark	2020-05-14	Confirmed	10713	2020-03-11	5837213
DK	Denmark	2020-05-14	Deaths	537	2020-03-11	5837213
DK	Denmark	2020-05-15	Confirmed	10791	2020-03-11	5837213
DK	Denmark	2020-05-15	Deaths	537	2020-03-11	5837213
DK	Denmark	2020-05-16	Confirmed	10858	2020-03-11	5837213
DK	Denmark	2020-05-16	Deaths	543	2020-03-11	5837213
DK	Denmark	2020-05-17	Confirmed	10927	2020-03-11	5837213
DK	Denmark	2020-05-17	Deaths	547	2020-03-11	5837213
DK	Denmark	2020-05-18	Confirmed	10968	2020-03-11	5837213
DK	Denmark	2020-05-18	Deaths	548	2020-03-11	5837213
DK	Denmark	2020-05-19	Confirmed	11044	2020-03-11	5837213
DK	Denmark	2020-05-19	Deaths	551	2020-03-11	5837213
DK	Denmark	2020-05-20	Confirmed	11117	2020-03-11	5837213
DK	Denmark	2020-05-20	Deaths	554	2020-03-11	5837213
